fusion_type,w_img,w_meta,accuracy,macro_f1
Image + Age,0.5,0.5,0.6479166666666667,0.6584826057008527
Image + Age,0.7,0.3,0.6520833333333333,0.6689443287554028
Image + Age,0.8,0.2,0.6520833333333333,0.6689443287554028
Image + Age,0.9,0.1,0.653125,0.6695150059580408
Image + Age,0.95,0.05,0.6541666666666667,0.6707070376579
Image + Age + Sex,0.5,0.5,0.6447916666666667,0.6583758667882913
Image + Age + Sex,0.7,0.3,0.6520833333333333,0.6689443287554028
Image + Age + Sex,0.8,0.2,0.6520833333333333,0.6689443287554028
Image + Age + Sex,0.9,0.1,0.653125,0.6695150059580408
Image + Age + Sex,0.95,0.05,0.6541666666666667,0.6707070376579
Image + Oracle,0.5,0.5,0.9875,0.9861103383956865
Image + Oracle,0.7,0.3,0.834375,0.8131296361123548
Image + Oracle,0.8,0.2,0.7458333333333333,0.7394540654109801
Image + Oracle,0.9,0.1,0.6854166666666667,0.6941797994648233
Image + Oracle,0.95,0.05,0.6645833333333333,0.6793958879430639
