,precision,recall,f1-score,support
Normal,0.795,0.27652173913043476,0.4103225806451613,575.0
Diabetic Retinopathy,0.5429447852760736,0.5496894409937888,0.5462962962962963,322.0
Glaucoma,0.3358208955223881,0.7894736842105263,0.4712041884816754,57.0
Cataract,0.5777777777777777,0.8813559322033898,0.697986577181208,59.0
AMD,0.3391304347826087,0.7358490566037735,0.4642857142857143,53.0
Hypertensive Retinopathy,0.2857142857142857,0.48,0.3582089552238806,25.0
Myopia,0.7777777777777778,0.9130434782608695,0.84,46.0
Other,0.27358490566037735,0.6126760563380281,0.3782608695652174,142.0
accuracy,0.4792806880375293,0.4792806880375293,0.4792806880375293,0.4792806880375293
macro avg,0.4909688578139111,0.6548261734676013,0.5208206477098942,1279.0
weighted avg,0.6137040698674335,0.4792806880375293,0.47364984229204277,1279.0
